Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.27     0.00    35000     0.00     0.00  std::vector<std::shared_ptr<ast::BinaryExpr>, std::allocator<std::shared_ptr<ast::BinaryExpr> > >::push_back(std::shared_ptr<ast::BinaryExpr> const&)
  0.00      1.27     0.00    30441     0.00     0.00  LogManager::add_log_to_buffer(LogRecord*)
  0.00      1.27     0.00    30441     0.00     0.00  LogRecord::serialize(char*) const
  0.00      1.27     0.00    30000     0.00     0.00  ast::TableRef::~TableRef()
  0.00      1.27     0.00    30000     0.00     0.00  Planner::generate_sort_plan(std::shared_ptr<Query>, std::shared_ptr<Plan>)
  0.00      1.27     0.00    30000     0.00     0.00  Planner::build_source_scan_plan(QuerySource const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<Condition, std::allocator<Condition> >, Context*, bool, TabCol const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.27     0.00    30000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::TableRef, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00    30000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::TableRef, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00    30000     0.00     0.00  void std::vector<QuerySource, std::allocator<QuerySource> >::_M_realloc_append<QuerySource>(QuerySource&&)
  0.00      1.27     0.00    30000     0.00     0.00  std::vector<std::shared_ptr<ast::Value>, std::allocator<std::shared_ptr<ast::Value> > >::~vector()
  0.00      1.27     0.00    30000     0.00     0.00  ColMeta* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<ColMeta const*, std::vector<ColMeta, std::allocator<ColMeta> > >, __gnu_cxx::__normal_iterator<ColMeta const*, std::vector<ColMeta, std::allocator<ColMeta> > >, ColMeta*>(__gnu_cxx::__normal_iterator<ColMeta const*, std::vector<ColMeta, std::allocator<ColMeta> > >, __gnu_cxx::__normal_iterator<ColMeta const*, std::vector<ColMeta, std::allocator<ColMeta> > >, ColMeta*)
  0.00      1.27     0.00    25432     0.00     0.00  RmFileHandle::update_record(Rid const&, char*, Context*)
  0.00      1.27     0.00    25238     0.00     0.00  RmFileHandle::fetch_page_handle_unlocked(int) const
  0.00      1.27     0.00    25000     0.00     0.00  LockManager::lock_exclusive_on_record(Transaction*, Rid const&, int)
  0.00      1.27     0.00    25000     0.00     0.00  Transaction::append_write_record(WriteRecord*)
  0.00      1.27     0.00    25000     0.00     0.00  WriteRecord::WriteRecord(WType, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, Rid const&, RmRecord const&)
  0.00      1.27     0.00    25000     0.00     0.00  ProjectionExecutor::beginTuple()
  0.00      1.27     0.00    25000     0.00     0.00  ProjectionExecutor::finish()
  0.00      1.27     0.00    25000     0.00     0.00  ProjectionExecutor::~ProjectionExecutor()
  0.00      1.27     0.00    25000     0.00     0.00  AmbiguousColumnError::~AmbiguousColumnError()
